Table,Table.Column,Column,hash,OS,Column_Total,intersect,Column_Join,Percent_Join
logged_in_users,logged_in_users.pid,pid,4813904132161070555,MacOS,11,"logged_in_users.pid, process_envs.pid, process_open_files.pid, running_apps.pid, processes.system_time, processes.pgroup, processes.pid, processes.upid, asl.pid, etc_services.port, last.pid",11,100.0
logged_in_users,logged_in_users.pid,pid,643207574785469102,MacOS,11,"logged_in_users.pid, process_envs.pid, process_open_files.pid, listening_ports.pid, processes.pid, processes.upid, processes.uppid, processes.parent, last.pid, process_open_sockets.pid",11,100.0
logged_in_users,logged_in_users.pid,pid,5338561940029656847,MacOS,11,"logged_in_users.pid, user_groups.gid, user_groups.uid, process_envs.pid, process_open_files.fd, process_open_files.pid, listening_ports.pid, users.gid, users.gid_signed, users.uid, users.uid_signed, running_apps.pid, processes.pgroup, processes.pid, processes.upid, groups.gid, groups.gid_signed, asl.pid, last.pid, process_open_sockets.pid",11,100.0
logged_in_users,logged_in_users.pid,pid,12497689803543204252,MacOS,11,"logged_in_users.pid, processes.pgroup, processes.pid, processes.parent, asl.pid, last.pid",11,100.0
logged_in_users,logged_in_users.pid,pid,12497689803543204252,MacOS,11,"logged_in_users.pid, processes.pgroup, processes.pid, processes.parent, asl.pid, last.pid",11,100.0
logged_in_users,logged_in_users.pid,pid,12497689803543204252,MacOS,11,"logged_in_users.pid, processes.pgroup, processes.pid, processes.parent, asl.pid, last.pid",11,100.0
logged_in_users,logged_in_users.pid,pid,12497689803543204252,MacOS,11,"logged_in_users.pid, processes.pgroup, processes.pid, processes.parent, asl.pid, last.pid",11,100.0
logged_in_users,logged_in_users.pid,pid,12497689803543204252,MacOS,11,"logged_in_users.pid, processes.pgroup, processes.pid, processes.parent, asl.pid, last.pid",11,100.0
logged_in_users,logged_in_users.pid,pid,7504130033178474899,MacOS,11,"logged_in_users.pid, processes.pgroup, processes.pid, processes.parent, last.pid",11,100.0
logged_in_users,logged_in_users.pid,pid,12497689803543204252,MacOS,11,"logged_in_users.pid, processes.pgroup, processes.pid, processes.parent, asl.pid, last.pid",11,100.0
logged_in_users,logged_in_users.pid,pid,7504130033178474899,MacOS,11,"logged_in_users.pid, processes.pgroup, processes.pid, processes.parent, last.pid",11,100.0
logged_in_users,logged_in_users.time,time,13074035579558311776,MacOS,11,"logged_in_users.time, asl.time, last.time",11,100.0
logged_in_users,logged_in_users.time,time,13074035579558311776,MacOS,11,"logged_in_users.time, asl.time, last.time",11,100.0
logged_in_users,logged_in_users.time,time,13074035579558311776,MacOS,11,"logged_in_users.time, asl.time, last.time",11,100.0
logged_in_users,logged_in_users.time,time,13074035579558311776,MacOS,11,"logged_in_users.time, asl.time, last.time",11,100.0
logged_in_users,logged_in_users.time,time,13074035579558311776,MacOS,11,"logged_in_users.time, asl.time, last.time",11,100.0
logged_in_users,logged_in_users.time,time,13074035579558311776,MacOS,11,"logged_in_users.time, asl.time, last.time",11,100.0
logged_in_users,logged_in_users.time,time,13074035579558311776,MacOS,11,"logged_in_users.time, asl.time, last.time",11,100.0
logged_in_users,logged_in_users.time,time,13074035579558311776,MacOS,11,"logged_in_users.time, asl.time, last.time",11,100.0
logged_in_users,logged_in_users.time,time,2379926227597299336,MacOS,11,"logged_in_users.time, processes.start_time, last.time",11,100.0
logged_in_users,logged_in_users.time,time,13074035579558311776,MacOS,11,"logged_in_users.time, asl.time, last.time",11,100.0
logged_in_users,logged_in_users.time,time,2379926227597299336,MacOS,11,"logged_in_users.time, processes.start_time, last.time",11,100.0
logged_in_users,logged_in_users.tty,tty,2611865105909521921,MacOS,11,"logged_in_users.tty, last.tty",11,100.0
logged_in_users,logged_in_users.tty,tty,2611865105909521921,MacOS,11,"logged_in_users.tty, last.tty",11,100.0
logged_in_users,logged_in_users.tty,tty,2611865105909521921,MacOS,11,"logged_in_users.tty, last.tty",11,100.0
logged_in_users,logged_in_users.tty,tty,2611865105909521921,MacOS,11,"logged_in_users.tty, last.tty",11,100.0
logged_in_users,logged_in_users.tty,tty,2611865105909521921,MacOS,11,"logged_in_users.tty, last.tty",11,100.0
logged_in_users,logged_in_users.tty,tty,2611865105909521921,MacOS,11,"logged_in_users.tty, last.tty",11,100.0
logged_in_users,logged_in_users.tty,tty,2611865105909521921,MacOS,11,"logged_in_users.tty, last.tty",11,100.0
logged_in_users,logged_in_users.tty,tty,2611865105909521921,MacOS,11,"logged_in_users.tty, last.tty",11,100.0
logged_in_users,logged_in_users.tty,tty,2611865105909521921,MacOS,11,"logged_in_users.tty, last.tty",11,100.0
logged_in_users,logged_in_users.tty,tty,2611865105909521921,MacOS,11,"logged_in_users.tty, last.tty",11,100.0
logged_in_users,logged_in_users.tty,tty,2611865105909521921,MacOS,11,"logged_in_users.tty, last.tty",11,100.0
logged_in_users,logged_in_users.type,type,6569868067786094750,MacOS,2,"logged_in_users.type, authorizations.class, asl.facility",2,100.0
logged_in_users,logged_in_users.type,type,6569868067786094750,MacOS,2,"logged_in_users.type, authorizations.class, asl.facility",2,100.0
logged_in_users,logged_in_users.user,user,11360747328077387157,MacOS,2,"logged_in_users.user, process_envs.value, account_policy_data.username, users.username, authorized_keys.username, groups.groupname, last.username, shell_history.username, sudoers.header",2,100.0
logged_in_users,logged_in_users.user,user,17645679839787693160,MacOS,2,"logged_in_users.user, launchd.username, process_envs.value, account_policy_data.username, certificates.common_name, users.username, keychain_items.label, ssh_configs.username, last.username, shell_history.username, sandboxes.user, cups_jobs.user, known_hosts.username, chrome_extensions.username, user_ssh_keys.username, firefox_addons.username, atom_packages.username",2,100.0
logged_in_users,logged_in_users.host,host,18173557051071671951,MacOS,1,"logged_in_users.host, arp_cache.address, last.host, process_open_sockets.remote_address, routes.destination, routes.gateway",1,100.0
cpuid,cpuid.feature,feature,3284242241106377348,MacOS,132,"cpuid.feature, etc_services.name",6,4.545454545454546
cpuid,cpuid.feature,feature,3284242241106377348,MacOS,132,"cpuid.feature, etc_services.name",6,4.545454545454546
cpuid,cpuid.feature,feature,3284242241106377348,MacOS,132,"cpuid.feature, etc_services.name",6,4.545454545454546
cpuid,cpuid.feature,feature,3284242241106377348,MacOS,132,"cpuid.feature, etc_services.name",6,4.545454545454546
cpuid,cpuid.feature,feature,3284242241106377348,MacOS,132,"cpuid.feature, etc_services.name",6,4.545454545454546
cpuid,cpuid.feature,feature,3284242241106377348,MacOS,132,"cpuid.feature, etc_services.name",6,4.545454545454546
cpuid,cpuid.value,value,1107139088678603012,MacOS,12,"cpuid.value, system_info.cpu_brand",3,25.0
cpuid,cpuid.value,value,1107139088678603012,MacOS,12,"cpuid.value, system_info.cpu_brand",3,25.0
cpuid,cpuid.value,value,7927420478528067707,MacOS,12,"cpuid.value, smc_keys.value",3,25.0
launchd,launchd.label,label,18094058984851866962,MacOS,1335,"launchd.label, process_envs.value",472,35.355805243445694
